qed,sa_score,mw,clogp,tpsa,hbd,hba,rotatable_bonds,ring_count,fraction_csp3,formal_charge,pains_alert,structural_alert,tox_flag_or_score,tox_flag,target_relevance_score,reactive_tags,smiles,passes_filters
0.2929509360953138,3.911931390064062,254.235,-3.843899999999999,139.84,6,8,5,1,1.0,0,0,0,0,0,0.054945054945054944,,OCC(CO)OC1OC(CO)C(O)C(O)C1O,False
0.3410194430302907,5.001494483063684,413.9020000000001,-0.11779999999999996,131.44,6,8,7,4,0.6842105263157895,0,0,1,1,1,0.13559322033898305,,NCCC(O)NCC1CN(c2ccc(C3C4CC(O)(O)CC43)c(Cl)c2)C(O)O1,False
0.23766326401618093,3.6205633719410297,425.4850000000001,1.1266999999999991,151.23,8,8,9,3,0.21739130434782608,0,0,1,1,1,0.1348314606741573,,NC(O)Nc1cccc(-c2cccc(C(O)(O)NC(CC(O)O)c3ccccc3)c2)c1,False
0.29103962721871773,4.784794906733801,554.5960000000003,3.0180000000000007,133.04000000000002,4,11,9,6,0.4482758620689655,0,0,1,1,1,0.16260162601626016,,COc1cc(C2c3cc4c(cc3C(NC(C)NC(O)c3ccco3)C3COC(O)C23)OCO4)cc(OC)c1OC,False
0.3923084371434172,3.46400295689107,316.4050000000001,1.5080999999999998,90.3,4,6,10,2,0.4117647058823529,0,0,1,1,1,0.140625,,OC(NCCCCCNC(O)c1ccccn1)c1ccccn1,False
0.8477821128700296,4.046962609179079,317.389,2.03292,70.75,2,6,3,3,0.47058823529411764,0,0,1,1,1,0.13513513513513514,,Cc1ccc2c(c1)C(O)N(C)Cc1c(C(O)OC(C)C)ncn1-2,False
0.5040393934135551,4.1550303394862524,339.35200000000003,-0.9812999999999996,148.76999999999998,4,10,5,3,0.6428571428571429,0,0,1,1,1,0.15555555555555556,,CC(C)COC(O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,False
0.34903917417466035,3.862393137656791,511.7150000000003,2.963800000000001,89.88000000000001,2,9,11,4,0.6785714285714286,0,0,1,1,1,0.18110236220472442,,CN1CCN(c2cc(CN(CCCCNC(O)OC(C)(C)C)C3CCCc4cccnc43)ncn2)CC1,False
0.5300545470843823,2.8842745948875574,376.8470000000001,4.893720000000003,70.93,2,5,4,4,0.09523809523809523,0,1,0,1,1,0.1523809523809524,,Cc1ccc2ccc(C(Nc3ncccn3)c3ccccc3Cl)c(O)c2n1,False
0.6168394253682096,2.899661650143864,316.4080000000001,3.305500000000001,42.74,1,4,2,5,0.3,0,0,0,0,0,0.13725490196078433,,c1ccc2c(c1)Cc1nccc(-n3cnc(C4CCNCC4)c3)c1-2,True
0.7439152169164649,2.9777915768684817,381.30300000000005,3.9688000000000034,56.59,2,4,6,3,0.42105263157894735,0,0,1,1,1,0.18518518518518517,,OC(O)CCc1cccc(C2CCCN2Cc2ccc(Cl)c(Cl)c2)n1,False
0.36842076208091773,4.073374130620865,414.5500000000002,2.1896199999999997,100.02,6,7,8,3,0.4782608695652174,0,0,1,1,1,0.1978021978021978,,CCCNC(C)NC(O)(O)c1ccc(N2NC(c3ccc(C)cc3)CCC2O)cc1,False
0.5908316513953951,2.5361359670022434,169.18,1.0151000000000001,63.93000000000001,3,4,3,1,0.25,0,0,1,1,1,0.10843373493975904,,Oc1ccccc1CCN(O)O,False
0.7367812429606116,2.5759566177796493,288.34700000000004,2.420600000000001,74.61,3,5,5,2,0.3125,0,0,1,1,1,0.22535211267605634,,COc1ccc(C(C)C)cc1C(O)(O)Nc1cccnc1,False
0.5559587163058277,4.3327644970213,199.29799999999994,-0.5347999999999982,75.50999999999999,3,4,5,2,1.0,0,0,0,0,0,0.09523809523809523,,NCCCC(N)C(O)N1CCC2CC21,False
0.44614439954212093,2.1711703174823764,373.88300000000004,6.4684400000000055,33.120000000000005,1,2,3,4,0.125,0,0,0,0,0,0.14285714285714285,,Cc1ccc2c(O)c(C)c(-c3cccc(Cc4ccc(Cl)cc4)c3)nc2c1,False
0.47609890354504636,3.6207711380205385,433.7230000000001,3.1214000000000013,90.74000000000001,3,7,6,3,0.4117647058823529,0,0,1,1,1,0.21978021978021978,,Oc1cc(N2CCOCC2)nc(CC(O)Nc2ccc(Cl)c(C(Cl)Cl)c2)n1,False
0.23927466909097095,6.728462603968522,594.6980000000002,1.1816999999999995,167.53,6,11,8,6,0.8064516129032258,0,0,1,1,1,0.11940298507462686,,CC(O)OCC12C(O)CC3OCC3(OC(C)O)C1C(OC(O)c1ccccc1)C13CCC(C)C1C2(O)C(O)OC3(C)C,False
0.3428761163950807,5.030772314652257,491.6330000000002,3.209320000000001,158.92000000000002,6,10,5,3,0.68,0,0,1,1,1,0.17647058823529413,,COc1cc(O)c2c(c1C)C(O)CCCCCC(C)NC(c1nc(NC(O)C(C)N)no1)CCC2,False
0.46394235576238174,2.686755561002226,385.46700000000016,3.9894000000000034,83.78,3,5,4,5,0.20833333333333334,0,0,1,1,1,0.10869565217391304,,NC1(c2ccc(-c3nc4cc(C(O)O)ccn4c3-c3ccccc3)cc2)CCC1,False
0.3171036152697292,3.260087659952678,444.57500000000016,6.298660000000006,67.52000000000001,2,5,9,4,0.32142857142857145,0,0,0,0,0,0.25882352941176473,,COc1ccc2cc(CCC(O)CC(Nc3cc(C)on3)c3ccc(C)cc3C)ccc2c1,False
0.4456149153697341,3.080243234861477,442.8180000000001,4.763720000000004,47.53,3,4,6,3,0.42857142857142855,0,0,1,1,1,0.1834862385321101,,Cc1ccccc1CN1CCC(NC(O)Nc2cccc(C(Cl)(Cl)Cl)c2)CC1,False
